cluster_id obs_id
1 96429
1 96524
1 96622
1 96644
1 96826
2 228575
2 228655
2 228668
2 228747
2 228839
3 353410
3 228575
3 228655
3 228668
3 228747
4 98994
4 99324
4 99518
4 99734
4 100071
5 229528
5 229727
5 229775
5 229880
5 230002
6 96613
6 96743
6 96849
6 96965
6 97016
7 212925
7 212942
7 212974
7 213015
7 213438
8 96464
8 96487
8 96675
8 96779
8 96922
8 97006
9 33382
9 33447
9 33944
9 34201
9 34483
10 96560
10 96680
10 96878
10 96925
10 96996
11 96469
11 96515
11 96673
11 96707
11 96831
12 93579
12 93700
12 93786
12 94002
12 94070
13 93475
13 93578
13 93645
13 93704
13 93820
14 93475
14 93578
14 93645
14 93704
14 93820
14 93873
14 93969
15 93475
15 93578
15 93645
15 93704
15 93820
15 93873
16 97632
16 97707
16 97891
16 97930
16 98064
17 93475
17 93578
17 93645
17 93704
17 93820
17 93873
17 93969
17 94088
18 32350
18 32526
18 32752
18 34138
18 34418
19 96511
19 96617
19 97675
19 96834
19 97732
20 96438
20 96486
20 96584
20 96695
20 96969
21 213070
21 213168
21 213214
21 213331
21 213499
22 93453
22 93683
22 93690
22 93770
22 94071
23 96451
23 96527
23 96540
23 96645
23 96898
23 97028
24 97461
24 97522
24 97801
24 97957
24 98042
25 96494
25 32334
25 32459
25 96553
25 32801
26 93555
26 93726
26 93826
26 93851
26 94001
26 94116
27 93555
27 93726
27 93826
27 93851
27 94001
28 93726
28 93826
28 93851
28 94001
28 94116
29 35453
29 35946
29 33831
29 37045
29 34518
30 229500
30 229585
30 229751
30 229769
30 229851
30 229935
31 96526
31 96632
31 96652
31 96754
31 96872
32 96421
32 96526
32 96632
32 96652
32 96754
32 96872
33 97491
33 97584
33 97773
33 97976
33 99999
34 96433
34 96534
34 96585
34 96660
34 96804
35 96517
35 96715
35 96843
35 96886
35 97033
36 96585
36 96660
36 96804
36 96912
36 97037
37 96547
37 96655
37 96755
37 96841
37 96887
37 97017
38 97467
38 97534
38 97900
38 98002
38 98041
39 36367
39 99745
39 36694
39 36872
39 99985
40 229477
40 229584
40 229618
40 229636
40 229732
40 229779
41 229477
41 229584
41 229618
41 229732
41 229779
42 33353
42 33485
42 33745
42 34107
42 34292
42 34496
43 96418
43 96528
43 96627
43 96734
43 96884
44 201445
44 201472
44 201712
44 201784
44 201825
45 33286
45 33482
45 33781
45 34029
45 34505
46 228534
46 228632
46 96736
46 96866
46 96995
47 229526
47 229662
47 229786
47 229961
47 230038
48 97675
48 96834
48 97732
48 97930
48 98064
49 33522
49 33730
49 34105
49 34217
49 34499
50 212906
50 213108
50 213145
50 213384
50 213524
51 96611
51 96640
51 97675
51 96834
51 97732
52 96640
52 97612
52 97675
52 96834
52 97732
53 96633
53 228523
53 228632
53 96736
53 96866
54 96611
54 96640
54 97612
54 97675
54 96834
54 97732
55 97704
55 228601
55 97839
55 98009
55 98079
56 35756
56 35948
56 36397
56 36611
56 36847
57 228439
57 228578
57 228667
57 228785
57 228802
57 228849
58 228578
58 228667
58 228785
58 228802
58 228849
59 33282
59 33478
59 33763
59 33966
59 34216
59 34493
60 96512
60 97440
60 97675
60 96834
60 97732
61 97646
61 97748
61 97857
61 97953
61 98057
62 229482
62 229617
62 229706
62 229739
62 229804
63 229617
63 229706
63 229739
63 229804
63 229858
63 229882
64 229617
64 229706
64 229739
64 229804
64 229858
65 229482
65 229617
65 229706
65 229739
65 229804
65 229858
65 229882
66 213375
66 213402
66 213445
66 213460
66 213492
67 99107
67 97577
67 99393
67 99506
67 97730
68 96418
68 96528
68 228632
68 96736
68 96866
